Year,Rainfall,11_year_average
1950,531.4,432.845454545454
1951,444.2,472.245454545454
1952,534.8,452.536363636364
1953,341.4,454.9
1954,456,457.009090909091
1955,494.5,470.418181818182
1956,730.4,451.718181818182
1957,233.8,446.109090909091
1958,438.5,443.972727272727
1959,426.7,451.781818181818
1960,542.9,443.972727272727
1961,325.7,436.781818181818
1962,382.5,385.627272727273
1963,511.3,396.309090909091
1964,427.3,396.972727272727
1965,370.1,399.945454545455
1966,415.4,394.1
1967,167.7,386.818181818182
1968,351.3,423.827272727273
1969,445.8,450.427272727273
1970,459.4,464.681818181818
1971,478.6,452.327272727273
1972,245.6,436.027272727273
1973,789.6,473.381818181818
1974,803.9,473.481818181818
1975,584.1,457.772727272727
1976,234.2,463.354545454545
1977,236.1,441.009090909091
1978,578.6,463.609090909091
1979,352.4,426.3
1980,273,385.763636363636
1981,520.8,366.263636363636
1982,232.8,372.518181818182
1983,494.2,393.2
1984,379.2,377.490909090909
1985,358,380.727272727273
1986,369.6,377.418181818182
1987,303,380.218181818182
1988,463.6,406.6
1989,405.8,388.745454545455
1990,388,388.872727272727
1991,236.6,390.781818181818
1992,551.6,387.181818181818
1993,523,400.490909090909
1994,297.8,395.672727272727
1995,380.6,403.545454545455
1996,379,396.745454545455
1997,330,392.054545454545
1998,449.4,382.109090909091
1999,410.6,360.763636363636
2000,492.4,375.981818181818
2001,313.2,361.309090909091
2002,185,356.527272727273
2003,442.2,356.163636363636
2004,288.2,334.436363636364
2005,465.2,361.309090909091
2006,219.2,360.309090909091
2007,326.4,360.618181818182
2008,326,372.4
2009,210.4,364.654545454545
2010,706.2,367.872727272727
2011,481.4,370.709090909091
2012,316.6,382.854545454545
2013,314.6,369.181818181818
2014,357,360.309090909091
2015,323.6,379.618181818182
2016,496.4,NaN
2017,352.8,NaN
2018,176,NaN
2019,228.4,NaN
2020,422.8,NaN
