latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-25.5438,152.0603,316,1.9,1.3,2009-02-07,30,Terra,MODIS,66,6.2,296,21.9,D,0
-25.5418,152.0417,316.1,1.9,1.3,2009-02-07,30,Terra,MODIS,66,6.2,297.3,22.1,D,0
-25.1542,146.9124,324.7,1,1,2009-02-07,30,Terra,MODIS,53,6.2,311.7,8.8,D,0
-25.0707,148.0306,321.1,1.1,1,2009-02-07,30,Terra,MODIS,66,6.2,304.9,11.5,D,0
-26.1716,150.7227,323.6,1.5,1.2,2009-02-07,30,Terra,MODIS,72,6.2,299.9,26.4,D,0
-26.1699,150.7073,320.3,1.5,1.2,2009-02-07,30,Terra,MODIS,63,6.2,297.9,19.7,D,0
-26.1693,150.7133,325.1,1.5,1.2,2009-02-07,30,Terra,MODIS,75,6.2,296.7,28.1,D,0
-25.6999,146.9966,325.7,1,1,2009-02-07,30,Terra,MODIS,62,6.2,313.2,10.1,D,0
-25.8417,147.2327,330.2,1,1,2009-02-07,30,Terra,MODIS,72,6.2,309.3,16.5,D,0
-26.7882,148.069,338.5,1.1,1.1,2009-02-07,31,Terra,MODIS,83,6.2,315.1,27.4,D,0
-26.751,149.6454,336.2,1.3,1.1,2009-02-07,31,Terra,MODIS,78,6.2,313.9,32,D,0
-26.7614,149.644,339.9,1.3,1.1,2009-02-07,31,Terra,MODIS,86,6.2,309.6,43.3,D,0
-26.2661,146.6498,328.6,1,1,2009-02-07,31,Terra,MODIS,45,6.2,314.5,8.5,D,0
-26.2646,146.6397,330.2,1,1,2009-02-07,31,Terra,MODIS,56,6.2,315.2,10.8,D,0
-29.0671,148.0812,331.6,1.2,1.1,2009-02-07,31,Terra,MODIS,70,6.2,314.7,16,D,0
-27.8853,147.6816,333.1,1.1,1.1,2009-02-07,31,Terra,MODIS,74,6.2,314.2,17.4,D,0
-32.7532,150.5973,324.1,1.8,1.3,2009-02-07,32,Terra,MODIS,64,6.2,301.6,35.5,D,0
