latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
-40.48308,148.24187,367,0.44,0.39,2014-02-10,350,N,VIIRS,l,2,353.14,400.84,D,0
-38.24972,146.38377,351.72,0.49,0.41,2014-02-10,351,N,VIIRS,n,2,317.18,26.59,D,0
-38.24906,146.38965,339.05,0.49,0.41,2014-02-10,351,N,VIIRS,n,2,308.59,17.7,D,0
-38.24707,146.40724,338.08,0.49,0.4,2014-02-10,351,N,VIIRS,n,2,311.68,70.09,D,0
-38.25415,146.37866,339.78,0.49,0.41,2014-02-10,351,N,VIIRS,n,2,304.86,26.59,D,0
-38.25219,146.39612,354.84,0.49,0.4,2014-02-10,351,N,VIIRS,n,2,311.9,17.7,D,0
-38.25349,146.38446,367,0.49,0.41,2014-02-10,351,N,VIIRS,h,2,322.47,26.59,D,0
-38.25284,146.3903,367,0.49,0.41,2014-02-10,351,N,VIIRS,h,2,315.37,17.7,D,0
-38.25151,146.40208,367,0.49,0.4,2014-02-10,351,N,VIIRS,h,2,341.69,70.09,D,0
-38.25661,146.39108,367,0.49,0.41,2014-02-10,351,N,VIIRS,l,2,372.57,186.16,D,0
-38.25527,146.40291,341.05,0.49,0.4,2014-02-10,351,N,VIIRS,n,2,314.36,17.94,D,0
-38.25594,146.39694,367,0.49,0.4,2014-02-10,351,N,VIIRS,h,2,358.02,186.16,D,0
-38.26101,146.38625,344.74,0.49,0.41,2014-02-10,351,N,VIIRS,n,2,313.21,132.61,D,0
-38.26035,146.39206,356.13,0.49,0.41,2014-02-10,351,N,VIIRS,n,2,317.3,186.16,D,0
-38.49451,146.55109,341.78,0.49,0.4,2014-02-10,351,N,VIIRS,n,2,298.1,29.18,D,0
-38.49828,146.55165,338.83,0.49,0.4,2014-02-10,351,N,VIIRS,n,2,308.36,36.19,D,0
-38.49766,146.55708,345.08,0.49,0.4,2014-02-10,351,N,VIIRS,n,2,314.86,26.96,D,0
-38.49704,146.56247,341.46,0.49,0.4,2014-02-10,351,N,VIIRS,n,2,298.7,26.96,D,0
-38.50143,146.55763,347.39,0.49,0.4,2014-02-10,351,N,VIIRS,n,2,308.26,26.96,D,0
-38.5008,146.56311,351.58,0.49,0.4,2014-02-10,351,N,VIIRS,n,2,310.72,26.96,D,0
-38.50015,146.5687,350.24,0.49,0.4,2014-02-10,351,N,VIIRS,n,2,301.33,7.1,D,0
