latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
-41.72355,148.02927,340.6,0.39,0.36,2020-01-04,359,N,VIIRS,n,2,276.7,11.45,D,0
-41.71214,148.01169,367,0.39,0.36,2020-01-04,359,N,VIIRS,h,2,295.22,15.46,D,0
-41.71147,148.01642,352.84,0.39,0.36,2020-01-04,359,N,VIIRS,n,2,293.12,65.65,D,0
-41.70811,148.01558,353.7,0.39,0.36,2020-01-04,359,N,VIIRS,n,2,303.6,18.89,D,0
-41.70744,148.02028,357.43,0.39,0.36,2020-01-04,359,N,VIIRS,l,2,273.47,18.89,D,0
-41.70476,148.01472,356.61,0.39,0.36,2020-01-04,359,N,VIIRS,n,2,293.16,18.89,D,0
-41.70543,148.01003,350.13,0.39,0.36,2020-01-04,359,N,VIIRS,n,2,289.91,53.79,D,0
-41.7061,148.00529,340.47,0.39,0.36,2020-01-04,359,N,VIIRS,n,2,275.55,53.79,D,0
-41.70408,148.01944,356.66,0.39,0.36,2020-01-04,359,N,VIIRS,l,2,283.92,18.89,D,0
-41.70073,148.01857,367,0.39,0.36,2020-01-04,359,N,VIIRS,h,2,294.56,20.43,D,0
-41.7014,148.01389,354.99,0.39,0.36,2020-01-04,359,N,VIIRS,n,2,295.31,20.43,D,0
-41.70207,148.00917,334.45,0.39,0.36,2020-01-04,359,N,VIIRS,n,2,284.27,7.54,D,0
-41.70274,148.00446,352.42,0.39,0.36,2020-01-04,359,N,VIIRS,n,2,276.24,7.54,D,0
-41.6967,148.02243,341.05,0.39,0.36,2020-01-04,359,N,VIIRS,n,2,283.34,22.26,D,0
-41.69737,148.01773,352.39,0.39,0.36,2020-01-04,359,N,VIIRS,n,2,299.28,20.43,D,0
-41.69804,148.01303,354.68,0.39,0.36,2020-01-04,359,N,VIIRS,n,2,303.58,20.43,D,0
-41.69871,148.00833,341.16,0.39,0.36,2020-01-04,359,N,VIIRS,n,2,282.13,7.54,D,0
-41.69938,148.00362,353.89,0.39,0.36,2020-01-04,359,N,VIIRS,n,2,276.2,7.54,D,0
-41.69468,148.01216,349.64,0.39,0.36,2020-01-04,359,N,VIIRS,n,2,291.68,19.96,D,0
-41.69602,148.00276,347.68,0.39,0.36,2020-01-04,359,N,VIIRS,n,2,273.04,6.24,D,0
-41.69266,148.00192,342.66,0.39,0.36,2020-01-04,359,N,VIIRS,n,2,279.11,6.24,D,0
-41.6893,148.00107,357.48,0.39,0.36,2020-01-04,359,N,VIIRS,n,2,289.21,16.32,D,0
-41.68528,148.0049,343.16,0.39,0.36,2020-01-04,359,N,VIIRS,n,2,283.63,16.32,D,0
-41.68661,147.9955,356.54,0.39,0.36,2020-01-04,359,N,VIIRS,n,2,294.15,21.31,D,0
-41.68259,147.99936,342.05,0.39,0.36,2020-01-04,359,N,VIIRS,n,2,287.76,3.75,D,0
-41.67386,147.98732,345,0.39,0.36,2020-01-04,359,N,VIIRS,n,2,277.73,6.52,D,0
-41.67387,147.98434,348.29,0.39,0.36,2020-01-04,359,N,VIIRS,n,2,274.28,5.18,D,0
-41.66375,148.03067,335.15,0.39,0.36,2020-01-04,359,N,VIIRS,n,2,283.88,5.61,D,0
