latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
-41.13237,146.85245,336.43,0.4,0.37,2014-01-03,402,N,VIIRS,n,2,304.48,5.14,D,2
-38.27184,146.3922,333.32,0.4,0.37,2014-01-03,403,N,VIIRS,n,2,298.71,2.31,D,0
-37.83205,144.7874,339.61,0.43,0.38,2014-01-03,403,N,VIIRS,n,2,304.02,4.7,D,2
-33.08783,150.41196,340.71,0.47,0.4,2014-01-03,404,N,VIIRS,n,2,301.27,8.46,D,0
-33.11155,150.40765,345.98,0.47,0.4,2014-01-03,404,N,VIIRS,n,2,300.88,8.57,D,0
-33.07338,150.59152,334.35,0.48,0.4,2014-01-03,404,N,VIIRS,n,2,301.42,2.64,D,0
-33.10792,150.40665,352.35,0.47,0.4,2014-01-03,404,N,VIIRS,n,2,300.66,7.23,D,0
-33.10884,150.40167,332.99,0.47,0.4,2014-01-03,404,N,VIIRS,n,2,297.85,8.36,D,0
-33.07067,150.58543,332.44,0.48,0.4,2014-01-03,404,N,VIIRS,n,2,300.26,4.03,D,0
-33.07163,150.58028,336.34,0.48,0.4,2014-01-03,404,N,VIIRS,n,2,300.05,4.03,D,0
-33.09095,150.47717,348.47,0.47,0.4,2014-01-03,404,N,VIIRS,n,2,301.73,6.14,D,0
-33.09192,150.47197,336.02,0.47,0.4,2014-01-03,404,N,VIIRS,n,2,300.51,2.84,D,0
-33.10428,150.40565,331.99,0.47,0.4,2014-01-03,404,N,VIIRS,n,2,299.55,7.23,D,0
-33.10521,150.40067,355.86,0.47,0.4,2014-01-03,404,N,VIIRS,n,2,302.06,8.36,D,0
-33.10614,150.39566,331.66,0.47,0.4,2014-01-03,404,N,VIIRS,n,2,297.47,8.36,D,0
-33.08826,150.47107,341.1,0.47,0.4,2014-01-03,404,N,VIIRS,n,2,301.67,7.25,D,0
-33.10159,150.39963,348.5,0.47,0.4,2014-01-03,404,N,VIIRS,n,2,303,47.63,D,0
-33.10252,150.39464,345.65,0.47,0.4,2014-01-03,404,N,VIIRS,n,2,301.63,47.63,D,0
-33.08559,150.46487,350.22,0.47,0.4,2014-01-03,404,N,VIIRS,n,2,300.86,7.25,D,0
-33.08655,150.45972,349.16,0.47,0.4,2014-01-03,404,N,VIIRS,n,2,302.41,7.87,D,0
-33.09511,150.41388,351.29,0.47,0.4,2014-01-03,404,N,VIIRS,n,2,309.13,45.5,D,0
-33.09609,150.40866,346.65,0.47,0.4,2014-01-03,404,N,VIIRS,n,2,299.23,15.18,D,0
-33.09705,150.40352,354.76,0.47,0.4,2014-01-03,404,N,VIIRS,n,2,301.12,15.18,D,0
-33.0989,150.39359,331.23,0.47,0.4,2014-01-03,404,N,VIIRS,l,2,302.39,47.63,D,0
